Log Date and Time Fri, 21 Mar 2008 23:13:30
Ambient Kiln Date Date2Num

(0, '71.60', '74.07', 'Thu, 20 Mar 2008 20:46:41', '733122.35606243508')
(1, '71.60', '74.07', 'Thu, 20 Mar 2008 20:46:44', '733122.35609723849')
(2, '71.60', '74.07', 'Thu, 20 Mar 2008 20:46:47', '733122.35613187216')
(3, '71.82', '74.07', 'Thu, 20 Mar 2008 20:46:50', '733122.35616667080')
(4, '71.60', '73.85', 'Thu, 20 Mar 2008 20:46:53', '733122.35620130715')
(5, '71.60', '74.07', 'Thu, 20 Mar 2008 20:46:56', '733122.35623611161')
(6, '71.60', '74.07', 'Thu, 20 Mar 2008 20:46:59', '733122.35627091804')
(7, '71.60', '74.07', 'Thu, 20 Mar 2008 20:47:02', '733122.35630554880')
(8, '71.60', '73.85', 'Thu, 20 Mar 2008 20:47:05', '733122.35634035454')
(9, '71.60', '74.07', 'Thu, 20 Mar 2008 20:47:08', '733122.35637498554')
(10, '71.60', '74.07', 'Thu, 20 Mar 2008 20:47:11', '733122.35640979162')
(11, '71.60', '74.07', 'Thu, 20 Mar 2008 20:47:14', '733122.35644442320')
(12, '71.60', '74.07', 'Thu, 20 Mar 2008 20:47:17', '733122.35647922812')
(13, '71.60', '74.07', 'Thu, 20 Mar 2008 20:47:20', '733122.35651404317')
(14, '71.60', '73.85', 'Thu, 20 Mar 2008 20:47:23', '733122.35654866463')
(15, '71.60', '73.85', 'Thu, 20 Mar 2008 20:47:26', '733122.35658348096')
(16, '71.82', '73.85', 'Thu, 20 Mar 2008 20:47:29', '733122.35661828704')
(17, '71.60', '74.07', 'Thu, 20 Mar 2008 20:47:32', '733122.35665291769')
(18, '71.60', '74.07', 'Thu, 20 Mar 2008 20:47:35', '733122.35668772354')
(19, '71.60', '73.85', 'Thu, 20 Mar 2008 20:47:38', '733122.35672234220')
(20, '71.82', '73.85', 'Thu, 20 Mar 2008 20:47:41', '733122.35675716109')
(21, '71.60', '73.85', 'Thu, 20 Mar 2008 20:47:44', '733122.35679177928')
(22, '71.82', '74.07', 'Thu, 20 Mar 2008 20:47:47', '733122.35682659771')
(23, '71.82', '73.85', 'Thu, 20 Mar 2008 20:47:50', '733122.35686139867')
(24, '71.82', '73.85', 'Thu, 20 Mar 2008 20:47:53', '733122.35689603514')
(25, '71.82', '73.85', 'Thu, 20 Mar 2008 20:47:56', '733122.35693083820')
(26, '71.82', '73.85', 'Thu, 20 Mar 2008 20:47:59', '733122.35696547094')
(27, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:02', '733122.35700027482')
(28, '71.60', '73.85', 'Thu, 20 Mar 2008 20:48:05', '733122.35703490779')
(29, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:08', '733122.35706971155')
(30, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:11', '733122.35710434488')
(31, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:14', '733122.35713914863')
(32, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:17', '733122.35717396729')
(33, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:20', '733122.35720858513')
(34, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:23', '733122.35724339157')
(35, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:26', '733122.35727802257')
(36, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:29', '733122.35731282877')
(37, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:32', '733122.35734745977')
(38, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:35', '733122.35738226247')
(39, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:38', '733122.35741708113')
(40, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:41', '733122.35745170212')
(41, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:44', '733122.35748651717')
(42, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:47', '733122.35752113850')
(43, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:50', '733122.35755595181')
(44, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:53', '733122.35759057570')
(45, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:56', '733122.35762539215')
(46, '71.82', '73.85', 'Thu, 20 Mar 2008 20:48:59', '733122.35766001290')
(47, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:02', '733122.35769481701')
(48, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:05', '733122.35772944498')
(49, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:08', '733122.35776425293')
(50, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:11', '733122.35779888730')
(51, '72.05', '73.85', 'Thu, 20 Mar 2008 20:49:14', '733122.35783368745')
(52, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:17', '733122.35786832345')
(53, '72.05', '73.85', 'Thu, 20 Mar 2008 20:49:20', '733122.35790312418')
(54, '72.05', '73.85', 'Thu, 20 Mar 2008 20:49:23', '733122.35793794575')
(55, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:26', '733122.35797256464')
(56, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:29', '733122.35800738179')
(57, '72.05', '73.85', 'Thu, 20 Mar 2008 20:49:32', '733122.35804200137')
(58, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:35', '733122.35807681433')
(59, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:38', '733122.35811143764')
(60, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:41', '733122.35814624466')
(61, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:44', '733122.35818106274')
(62, '72.05', '73.85', 'Thu, 20 Mar 2008 20:49:47', '733122.35821586254')
(63, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:50', '733122.35825049807')
(64, '72.05', '73.85', 'Thu, 20 Mar 2008 20:49:53', '733122.35828530043')
(65, '72.05', '73.85', 'Thu, 20 Mar 2008 20:49:56', '733122.35832013853')
(66, '71.82', '73.85', 'Thu, 20 Mar 2008 20:49:59', '733122.35835473670')
(67, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:02', '733122.35838955455')
(68, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:05', '733122.35842436634')
(69, '71.82', '73.62', 'Thu, 20 Mar 2008 20:50:08', '733122.35845918034')
(70, '72.05', '73.85', 'Thu, 20 Mar 2008 20:50:11', '733122.35849398596')
(71, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:14', '733122.35852861579')
(72, '71.82', '73.85', 'Thu, 20 Mar 2008 20:50:17', '733122.35856342211')
(73, '71.82', '73.85', 'Thu, 20 Mar 2008 20:50:20', '733122.35859822668')
(74, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:23', '733122.35863285977')
(75, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:26', '733122.35866766341')
(76, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:29', '733122.35870248196')
(77, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:32', '733122.35873728653')
(78, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:35', '733122.35877209867')
(79, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:38', '733122.35880672315')
(80, '71.82', '73.62', 'Thu, 20 Mar 2008 20:50:41', '733122.35884156195')
(81, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:44', '733122.35887616081')
(82, '71.82', '73.62', 'Thu, 20 Mar 2008 20:50:47', '733122.35891097761')
(83, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:50', '733122.35894577717')
(84, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:53', '733122.35898041457')
(85, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:56', '733122.35901521845')
(86, '72.05', '73.62', 'Thu, 20 Mar 2008 20:50:59', '733122.35905002535')
(87, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:02', '733122.35908484063')
(88, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:05', '733122.35911945626')
(89, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:08', '733122.35915427783')
(90, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:11', '733122.35918889870')
(91, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:14', '733122.35922371456')
(92, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:17', '733122.35925852018')
(93, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:20', '733122.35929333023')
(94, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:23', '733122.35932795494')
(95, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:26', '733122.35936277325')
(96, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:29', '733122.35939757945')
(97, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:32', '733122.35943221045')
(98, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:35', '733122.35946701060')
(99, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:38', '733122.35950181971')
(100, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:41', '733122.35953663720')
(101, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:44', '733122.35957125574')
(102, '72.05', '73.40', 'Thu, 20 Mar 2008 20:51:47', '733122.35960607440')
(103, '72.05', '73.62', 'Thu, 20 Mar 2008 20:51:50', '733122.35964068875')
